User_ID,Gender,Age,Location,Device_Type,Product_Browsing_Time,Total_Pages_Viewed,Items_Added_to_Cart,Total_Purchases
1,Female,23,Ahmedabad,Mobile,60,30,1,0
2,Male,25,Kolkata,Tablet,30,38,9,4
3,Male,32,Bangalore,Desktop,37,13,5,0
4,Male,35,Delhi,Mobile,7,20,10,3
5,Male,27,Bangalore,Tablet,35,20,8,2
6,Male,31,Kolkata,Mobile,34,47,5,4
7,Female,22,Delhi,Mobile,13,14,3,0
8,Female,25,Pune,Mobile,42,24,10,2
9,Male,33,Mumbai,Desktop,21,18,5,5
10,Female,18,Bangalore,Desktop,12,43,2,5
11,Female,30,Ahmedabad,Tablet,31,15,9,5
12,Male,21,Delhi,Tablet,25,35,10,1
13,Female,23,Bangalore,Mobile,10,27,0,2
14,Male,26,Bangalore,Desktop,42,22,0,3
15,Male,32,Kolkata,Desktop,37,44,5,0
16,Female,35,Ahmedabad,Desktop,60,7,8,5
17,Female,22,Bangalore,Mobile,37,7,10,4
18,Male,22,Mumbai,Desktop,19,33,6,0
19,Male,32,Kolkata,Desktop,18,13,2,4
20,Male,25,Ahmedabad,Mobile,38,36,4,3
21,Male,21,Delhi,Mobile,14,30,7,5
22,Female,28,Kolkata,Mobile,45,44,9,1
23,Female,21,Mumbai,Tablet,16,29,1,1
24,Female,27,Ahmedabad,Mobile,59,17,4,5
25,Male,32,Hyderabad,Tablet,27,26,6,0
26,Male,25,Ahmedabad,Desktop,22,42,5,0
27,Male,27,Delhi,Tablet,23,39,10,0
28,Male,21,Pune,Mobile,44,27,8,5
29,Female,21,Chennai,Desktop,41,7,3,4
30,Female,29,Hyderabad,Tablet,40,26,3,4
31,Male,32,Bangalore,Mobile,42,31,10,0
32,Female,18,Kolkata,Tablet,59,18,10,2
33,Female,18,Chennai,Mobile,19,28,10,5
34,Female,20,Delhi,Tablet,10,40,10,2
35,Female,30,Mumbai,Desktop,14,49,3,1
36,Male,35,Chennai,Tablet,28,46,8,5
37,Female,28,Chennai,Tablet,13,47,7,3
38,Male,26,Kolkata,Tablet,43,14,6,5
39,Female,32,Pune,Mobile,38,50,7,1
40,Female,35,Chennai,Desktop,46,29,8,2
41,Female,19,Hyderabad,Mobile,55,32,7,4
42,Male,29,Pune,Desktop,43,23,4,5
43,Female,23,Delhi,Desktop,58,36,10,0
44,Male,29,Pune,Tablet,10,17,1,0
45,Female,29,Ahmedabad,Desktop,18,47,3,2
46,Female,26,Delhi,Tablet,47,11,3,5
47,Female,32,Kolkata,Tablet,39,47,7,2
48,Female,28,Kolkata,Tablet,46,13,6,3
49,Female,21,Delhi,Mobile,18,26,0,2
50,Male,28,Chennai,Mobile,21,28,3,5
51,Female,30,Ahmedabad,Tablet,17,8,5,2
52,Male,26,Delhi,Mobile,8,20,10,2
53,Female,30,Kolkata,Tablet,37,10,3,1
54,Male,26,Ahmedabad,Tablet,17,47,7,4
55,Male,23,Mumbai,Desktop,43,10,1,0
56,Female,32,Chennai,Tablet,56,29,2,2
57,Female,26,Chennai,Desktop,39,33,1,0
58,Male,20,Kolkata,Tablet,33,40,9,2
59,Female,24,Mumbai,Mobile,38,38,6,4
60,Male,21,Hyderabad,Desktop,12,15,6,0
61,Female,35,Mumbai,Mobile,7,9,5,1
62,Female,33,Bangalore,Mobile,35,50,9,0
63,Female,20,Delhi,Tablet,16,48,3,1
64,Male,32,Pune,Mobile,33,7,3,4
65,Female,25,Bangalore,Desktop,22,50,10,0
66,Male,25,Bangalore,Mobile,29,14,5,0
67,Male,27,Pune,Tablet,47,36,8,2
68,Male,29,Chennai,Mobile,25,26,7,3
69,Male,22,Pune,Mobile,7,30,8,2
70,Female,20,Hyderabad,Mobile,27,41,0,0
71,Male,31,Kolkata,Mobile,11,19,6,1
72,Female,18,Mumbai,Desktop,54,48,4,3
73,Male,25,Delhi,Desktop,38,39,3,2
74,Female,29,Delhi,Mobile,57,20,1,1
75,Male,19,Bangalore,Desktop,43,34,3,0
76,Female,27,Kolkata,Tablet,56,41,8,2
77,Female,29,Hyderabad,Desktop,15,6,7,5
78,Female,26,Pune,Tablet,51,31,0,5
79,Male,18,Pune,Mobile,15,44,1,3
80,Male,28,Hyderabad,Mobile,9,41,9,3
81,Female,31,Bangalore,Mobile,34,48,6,2
82,Male,26,Delhi,Mobile,10,33,2,5
83,Female,26,Kolkata,Desktop,50,48,3,0
84,Female,32,Bangalore,Desktop,18,15,8,5
85,Female,22,Pune,Mobile,7,29,10,4
86,Female,23,Hyderabad,Tablet,34,18,8,1
87,Female,31,Chennai,Tablet,36,18,8,4
88,Male,27,Chennai,Desktop,39,12,1,4
89,Female,30,Kolkata,Tablet,8,19,1,3
90,Male,29,Ahmedabad,Mobile,29,40,7,1
91,Male,29,Ahmedabad,Mobile,52,36,7,2
92,Male,21,Pune,Tablet,21,34,8,4
93,Male,26,Pune,Tablet,16,15,10,2
94,Female,22,Kolkata,Mobile,31,25,0,4
95,Male,20,Hyderabad,Tablet,41,28,1,5
96,Male,21,Pune,Mobile,35,46,1,3
97,Female,33,Hyderabad,Mobile,52,23,6,3
98,Female,19,Kolkata,Tablet,47,8,10,5
99,Male,20,Ahmedabad,Mobile,37,34,8,2
100,Male,27,Hyderabad,Desktop,10,16,0,4
101,Female,22,Ahmedabad,Desktop,43,18,1,4
102,Male,19,Delhi,Tablet,60,44,7,5
103,Female,22,Ahmedabad,Mobile,18,42,9,3
104,Male,32,Kolkata,Desktop,36,23,3,5
105,Male,21,Bangalore,Mobile,47,19,7,2
106,Female,34,Chennai,Mobile,34,44,1,5
107,Male,32,Bangalore,Tablet,36,21,8,2
108,Male,27,Bangalore,Desktop,24,25,1,3
109,Female,30,Delhi,Tablet,32,37,8,3
110,Female,32,Kolkata,Tablet,31,31,0,0
111,Female,23,Chennai,Desktop,54,28,5,0
112,Male,20,Mumbai,Mobile,19,42,9,5
113,Female,32,Bangalore,Mobile,35,19,8,0
114,Female,35,Mumbai,Mobile,46,26,9,2
115,Female,25,Delhi,Mobile,41,6,8,3
116,Male,33,Ahmedabad,Mobile,9,14,1,3
117,Female,25,Mumbai,Desktop,24,34,6,0
118,Female,27,Delhi,Tablet,16,50,1,3
119,Female,34,Kolkata,Mobile,40,40,5,1
120,Female,35,Chennai,Mobile,30,22,4,0
121,Female,19,Mumbai,Desktop,44,30,9,1
122,Male,29,Hyderabad,Tablet,57,42,9,4
123,Male,28,Chennai,Mobile,9,12,6,2
124,Male,21,Hyderabad,Mobile,16,35,3,0
125,Male,29,Kolkata,Desktop,58,43,3,3
126,Female,30,Kolkata,Mobile,38,14,4,0
127,Female,27,Bangalore,Desktop,55,28,3,4
128,Female,31,Ahmedabad,Desktop,28,24,5,5
129,Female,27,Hyderabad,Desktop,7,12,6,2
130,Female,27,Ahmedabad,Desktop,22,16,3,0
131,Male,32,Hyderabad,Tablet,49,43,10,0
132,Male,23,Hyderabad,Mobile,46,35,9,0
133,Male,19,Pune,Mobile,13,29,1,3
134,Male,21,Chennai,Tablet,17,9,10,1
135,Male,31,Mumbai,Mobile,58,40,7,5
136,Male,29,Pune,Tablet,46,8,6,1
137,Male,27,Delhi,Mobile,41,35,3,0
138,Male,31,Bangalore,Desktop,57,6,3,0
139,Male,35,Pune,Mobile,14,47,6,0
140,Female,30,Bangalore,Mobile,36,38,7,5
141,Female,33,Kolkata,Desktop,58,14,0,3
142,Female,19,Delhi,Desktop,27,44,5,4
143,Male,22,Mumbai,Desktop,34,16,6,5
144,Female,29,Hyderabad,Mobile,46,49,5,0
145,Male,18,Mumbai,Desktop,39,11,7,4
146,Female,22,Hyderabad,Mobile,54,23,8,0
147,Male,19,Kolkata,Tablet,14,23,6,4
148,Female,19,Pune,Desktop,21,49,4,2
149,Female,25,Chennai,Desktop,44,26,7,3
150,Male,27,Chennai,Desktop,41,31,8,5
151,Male,30,Hyderabad,Desktop,27,39,4,0
152,Female,19,Mumbai,Mobile,25,43,2,4
153,Male,27,Mumbai,Tablet,52,23,9,5
